Date      | ID    | Username           | Total Money  |Total Distance|  Today Money | Today Distance
2025-04-12|       |                    |  1,434,408 $ |    54,828 km |      22,018 $ |    407 km
2025-04-13|       |                    |  1,450,454 $ |    55,191 km |      16,013 $ |    363 km
2025-04-14|       |                    |  1,465,503 $ |    55,539 km |      14,769 $ |    342 km
2025-04-15|       |                    |  1,486,416 $ |    55,874 km |      20,815 $ |    332 km
2025-04-16|       |                    |  1,503,212 $ |    56,274 km |      16,796 $ |    400 km
2025-04-17|       |                    |  1,541,084 $ |    57,276 km |      37,718 $ |    997 km
2025-04-18|       |                    |  1,551,762 $ |    57,553 km |      10,662 $ |    276 km
2025-04-19|       |                    |  1,586,715 $ |    58,557 km |      34,718 $ |    997 km
2025-04-20|       |                    |  1,599,382 $ |    58,979 km |      12,667 $ |    422 km
2025-04-21|       |                    |  1,626,625 $ |    60,003 km |      27,091 $ |  1,017 km
2025-04-22|       |                    |  1,637,198 $ |    60,397 km |      10,389 $ |    386 km
2025-04-23|       |                    |  1,655,103 $ |    61,238 km |         367 $ |      9 km
2025-04-24|       |                    |  1,665,236 $ |    61,550 km |      10,059 $ |    489 km
2025-04-25|       |                    |  1,672,317 $ |    61,832 km |       7,073 $ |    282 km
2025-04-26|       |                    |  1,704,678 $ |    62,907 km |      32,214 $ |  1,069 km
2025-04-27|       |                    |  1,719,006 $ |    63,517 km |      13,983 $ |    601 km
2025-04-28|       |                    |  1,750,818 $ |    64,557 km |      31,616 $ |  1,032 km
2025-04-29|       |                    |  1,782,278 $ |    65,609 km |      31,312 $ |  1,046 km
2025-04-30|       |                    |  1,802,357 $ |    66,274 km |      20,005 $ |    663 km

2025-05-01|       |                    |  1,818,949 $ |    66,820 km |      16,459 $ |    541 km
2025-05-02|       |                    |  1,839,534 $ |    67,482 km |      20,430 $ |    657 km
2025-05-03|       |                    |  1,860,116 $ |    68,188 km |      20,531 $ |    704 km
2025-05-04|       |                    |  1,857,978 $ |    68,693 km |      -2,243 $ |    500 km
2025-05-05|       |                    |  1,887,044 $ |    69,704 km |      29,063 $ |  1,011 km
2025-05-06|       |                    |  1,896,237 $ |    70,013 km |       9,119 $ |    306 km
2025-05-07|       |                    |  1,918,489 $ |    70,751 km |      22,248 $ |    738 km
2025-05-08|       |                    |  1,913,517 $ |    71,188 km |      -5,004 $ |    436 km
2025-05-09|       |                    |  1,942,274 $ |    72,111 km |       5,937 $ |    180 km
2025-05-10|       |                    |  1,950,909 $ |    72,406 km |       8,635 $ |    295 km
2025-05-12|       |                    |  1,348,754 $ |    73,566 km |       9,974 $ |    348 km
2025-05-13|       |                    |  1,466,997 $ |    74,166 km |     118,018 $ |    590 km
2025-05-14|       |                    |  1,489,550 $ |    75,229 km |      22,289 $ |  1,052 km
2025-05-15|       |                    |  1,521,937 $ |    76,393 km |      32,387 $ |  1,164 km
2025-05-16|       |                    |  1,553,683 $ |    77,458 km |      31,746 $ |  1,065 km
2025-05-17|       |                    |  1,579,252 $ |    78,039 km |      25,382 $ |    576 km
2025-05-18|       |                    |  1,601,727 $ |    78,592 km |      22,480 $ |    553 km
2025-05-19|       |                    |  1,621,071 $ |    79,084 km |      19,203 $ |    489 km
2025-05-20|       |                    |  1,654,139 $ |    79,860 km |      33,038 $ |    775 km
2025-05-21|       |                    |  1,680,729 $ |    80,501 km |      26,178 $ |    636 km
2025-05-22|       |                    |  1,711,559 $ |    81,213 km |      30,646 $ |    707 km
2025-05-23|       |                    |  1,737,939 $ |    81,856 km |      26,380 $ |    643 km
2025-05-24|       |                    |  1,315,000 $ |    82,519 km |    -423,131 $ |    656 km
2025-05-25|       |                    |  1,339,873 $ |    83,331 km |      24,815 $ |    810 km
2025-05-26|       |                    |  1,364,613 $ |    84,091 km |      24,740 $ |    760 km
2025-05-27|       |                    |  1,391,679 $ |    84,756 km |      27,062 $ |    665 km
2025-05-28|       |                    |  1,428,383 $ |    85,782 km |      36,605 $ |  1,025 km
2025-05-29|       |                    |  1,459,714 $ |    86,537 km |      31,331 $ |    755 km
2025-05-30|       |                    |  1,488,876 $ |    87,264 km |      29,076 $ |    725 km
2025-05-31|       |                    |  1,858,822 $ |    87,838 km |     369,946 $ |    574 km

2025-06-01|       |                    |  1,880,441 $ |    88,448 km |      21,309 $ |    608 km
2025-06-02|       |                    |  1,902,982 $ |    88,989 km |      22,541 $ |    541 km
2025-06-03|       |                    |  1,934,306 $ |    89,590 km |      31,324 $ |    601 km
2025-06-04|       |                    |  1,951,351 $ |    90,093 km |      16,890 $ |    498 km
2025-06-05|       |                    |  1,983,923 $ |    90,698 km |      32,022 $ |    597 km
2025-06-06|       |                    |  2,004,101 $ |    91,203 km |      19,951 $ |    499 km
2025-06-07|       |                    |  2,037,257 $ |    91,621 km |      33,100 $ |    416 km
2025-06-08|       |                    |  2,080,515 $ |    92,058 km |      43,243 $ |    437 km
2025-06-09|       |                    |  2,083,563 $ |    92,123 km |       2,683 $ |     63 km
2025-06-10|       |                    |  2,143,585 $ |    92,620 km |       4,649 $ |     24 km
2025-06-11|       |                    |  2,170,065 $ |    92,933 km |      26,478 $ |    313 km
2025-06-12|       |                    |  2,201,972 $ |    93,112 km |      31,546 $ |    176 km
2025-06-13|       |                    |  2,235,127 $ |    93,313 km |      33,150 $ |    201 km
2025-06-14|       |                    |  2,261,459 $ |    93,728 km |      26,292 $ |    414 km
2025-06-15|       |                    |  2,266,486 $ |    93,885 km |       4,883 $ |    152 km
2025-06-16|       |                    |  2,278,581 $ |    94,595 km |      12,092 $ |    709 km
2025-06-17|       |                    |  2,300,103 $ |    95,200 km |      21,522 $ |    605 km
2025-06-18|       |                    |  2,319,332 $ |    95,804 km |      19,229 $ |    604 km
2025-06-19|       |                    |  2,337,810 $ |    96,316 km |      18,478 $ |    512 km
2025-06-20|       |                    |  2,358,088 $ |    96,874 km |      20,100 $ |    553 km
2025-06-21|       |                    |  2,376,812 $ |    97,402 km |      18,657 $ |    526 km
2025-06-22|       |                    |  2,402,000 $ |    98,017 km |      25,188 $ |    615 km
2025-06-23|       |                    |  2,419,164 $ |    98,422 km |      17,164 $ |    405 km
2025-06-24|       |                    |  2,439,317 $ |    98,890 km |      20,153 $ |    468 km
2025-06-25|       |                    |  2,455,154 $ |    99,302 km |      15,734 $ |    409 km
2025-06-26|       |                    |  2,470,705 $ |    99,680 km |      15,476 $ |    376 km
2025-06-27|       |                    |  2,606,354 $ |   100,083 km |     135,591 $ |    401 km
2025-06-28|       |                    |  2,521,633 $ |   100,575 km |     -84,721 $ |    492 km
2025-06-29|       |                    |  2,542,316 $ |   101,297 km |      20,523 $ |    715 km
2025-06-30|       |                    |     57,645 $ |   101,594 km |  -2,484,870 $ |    289 km

2025-07-01|       |                    |     93,217 $ |   101,872 km |      31,439 $ |    252 km
2025-07-02|       |                    |    121,735 $ |   102,216 km |      28,436 $ |    340 km
2025-07-03|       |                    |    146,803 $ |   103,069 km |      24,857 $ |    846 km
2025-07-04|       |                    |    189,211 $ |   103,603 km |      42,408 $ |    534 km
2025-07-05|       |                    |    217,252 $ |   103,929 km |      28,041 $ |    326 km
2025-07-06|       |                    |    252,331 $ |   104,298 km |      35,079 $ |    369 km
2025-07-07|       |                    |    290,825 $ |   104,649 km |      38,420 $ |    349 km
2025-07-08|       |                    |    327,048 $ |   105,050 km |      36,217 $ |    401 km
2025-07-09|       |                    |    464,639 $ |   105,376 km |     137,591 $ |    326 km
2025-07-10|       |                    |    496,006 $ |   105,702 km |      31,307 $ |    325 km
2025-07-11|       |                    |    529,204 $ |   106,011 km |      33,198 $ |    309 km
2025-07-12|       |                    |    551,504 $ |   106,375 km |      22,183 $ |    361 km
2025-07-13|       |                    |    573,172 $ |   106,728 km |      21,669 $ |    352 km
2025-07-14|       |                    |    587,647 $ |   107,054 km |      14,474 $ |    326 km
2025-07-15|       |                    |    607,160 $ |   107,472 km |      19,513 $ |    418 km
2025-07-16|       |                    |    625,094 $ |   107,904 km |      17,841 $ |    430 km
2025-07-17|       |                    |    630,287 $ |   108,034 km |       5,193 $ |    130 km
2025-07-18|       |                    |    672,304 $ |   108,761 km |      17,694 $ |    317 km
2025-07-19|       |                    |    692,420 $ |   109,189 km |      19,691 $ |    426 km
2025-07-20|       |                    |    717,918 $ |   109,720 km |      25,448 $ |    531 km
2025-07-21|       |                    |    742,967 $ |   110,248 km |      25,043 $ |    528 km
2025-07-22|       |                    |    770,373 $ |   110,735 km |      27,388 $ |    487 km
2025-07-23|       |                    |    785,164 $ |   111,073 km |      14,717 $ |    337 km
2025-07-24|       |                    |    807,810 $ |   111,533 km |      22,546 $ |    457 km
2025-07-25|       |                    |    833,793 $ |   112,034 km |      25,962 $ |    500 km
2025-07-26|       |                    |    858,787 $ |   112,573 km |      24,807 $ |    534 km
2025-07-27|       |                    |    874,009 $ |   113,137 km |      15,133 $ |    561 km
2025-07-28|       |                    |    892,449 $ |   113,650 km |      18,434 $ |    513 km
2025-07-29|       |                    |    902,574 $ |   113,949 km |      10,034 $ |    297 km

2025-08-03|       |                    |    997,626 $ |   116,332 km |      21,815 $ |    523 km
2025-08-04|       |                    |  1,013,760 $ |   116,712 km |      15,332 $ |    376 km
2025-08-05|       |                    |  1,039,605 $ |   117,317 km |      25,555 $ |    604 km
2025-08-06|       |                    |  1,060,259 $ |   117,837 km |      20,488 $ |    520 km
2025-08-07|       |                    |  1,081,578 $ |   118,367 km |      21,223 $ |    530 km
2025-08-09|       |                    |  1,124,425 $ |   119,452 km |      19,214 $ |    533 km
2025-08-10|       |                    |  1,134,574 $ |   119,787 km |      10,043 $ |    334 km
2025-08-11|       |                    |  1,159,492 $ |   120,490 km |      24,765 $ |    700 km
2025-08-12|       |                    |  1,187,030 $ |   121,163 km |      27,497 $ |    673 km
2025-08-13|       |                    |  1,210,828 $ |   121,840 km |      23,381 $ |    673 km
2025-08-14|       |                    |  1,239,846 $ |   122,549 km |           0 $ |      0 km
2025-08-15|       |                    |  1,261,307 $ |   123,199 km |      21,397 $ |    649 km
2025-08-16|       |                    |  1,279,459 $ |   123,712 km |      17,887 $ |    512 km
2025-08-17|       |                    |  1,314,843 $ |   124,124 km |      35,373 $ |    412 km
2025-08-18|       |                    |  1,354,653 $ |   124,509 km |      39,678 $ |    383 km
2025-08-19|       |                    |  1,393,038 $ |   124,910 km |           0 $ |      0 km
2025-08-20|       |                    |  1,426,815 $ |   125,315 km |      33,690 $ |    404 km
2025-08-21|       |                    |  1,464,000 $ |   125,816 km |      37,185 $ |    501 km
2025-08-22|       |                    |  1,499,835 $ |   126,247 km |      35,713 $ |    430 km
2025-08-23|       |                    |  1,540,375 $ |   126,606 km |      40,482 $ |    359 km
2025-08-24|       |                    |  1,574,689 $ |   126,899 km |      31,876 $ |    237 km
2025-08-25|       |                    |  1,616,775 $ |   127,300 km |      41,937 $ |    397 km
2025-08-26|       |                    |  1,659,626 $ |   127,612 km |      42,562 $ |    310 km
2025-08-27|       |                    |  1,709,984 $ |   127,991 km |      50,277 $ |    377 km
2025-08-28|       |                    |  1,753,226 $ |   128,355 km |      43,247 $ |    363 km
2025-08-29|       |                    |  1,828,164 $ |   128,883 km |      74,799 $ |    527 km
2025-08-30|       |                    |  1,860,084 $ |   129,462 km |      31,827 $ |    576 km
2025-08-31|       |                    |  1,881,893 $ |   129,894 km |      21,809 $ |    432 km

2025-09-01|       |                    |  1,908,517 $ |   130,406 km |      26,512 $ |    511 km
2025-09-02|       |                    |  1,932,371 $ |   130,969 km |      23,788 $ |    563 km
2025-09-03|       |                    |  1,958,610 $ |   131,523 km |      26,132 $ |    550 km
2025-09-04|       |                    |  1,982,143 $ |   132,030 km |      23,438 $ |    505 km
2025-09-05|       |                    |  1,992,215 $ |   132,355 km |      10,077 $ |    325 km
2025-09-06|       |                    |  2,012,911 $ |   132,884 km |      20,691 $ |    529 km
2025-09-07|       |                    |  2,034,587 $ |   133,404 km |      21,666 $ |    514 km
2025-09-08|       |                    |  2,050,667 $ |   133,885 km |      15,954 $ |    476 km
2025-09-09|       |                    |  2,064,473 $ |   134,413 km |      13,792 $ |    528 km
2025-09-10|       |                    |  2,080,157 $ |   134,889 km |      15,684 $ |    476 km
2025-09-11|       |                    |  2,097,323 $ |   135,368 km |      17,139 $ |    478 km
2025-09-12|       |                    |  2,125,415 $ |   135,928 km |      28,064 $ |    559 km
2025-09-13|       |                    |  2,141,529 $ |   136,485 km |      16,041 $ |    557 km
2025-09-14|       |                    |  2,150,942 $ |   136,938 km |       9,347 $ |    448 km
2025-09-16|       |                    |  2,195,467 $ |   138,144 km |      21,250 $ |    601 km
2025-09-17|       |                    |  2,217,294 $ |   138,728 km |      21,796 $ |    584 km
2025-09-18|       |                    |  2,239,026 $ |   139,337 km |      21,732 $ |    608 km
2025-09-19|       |                    |  2,269,118 $ |   139,992 km |      29,956 $ |    650 km
2025-09-20|       |                    |  2,312,994 $ |   140,420 km |      43,616 $ |    427 km
2025-09-21|       |                    |  2,344,055 $ |   140,882 km |      30,934 $ |    457 km
2025-09-22|       |                    |  2,380,738 $ |   141,285 km |      36,489 $ |    402 km
2025-09-23|       |                    |  2,414,526 $ |   141,662 km |      33,774 $ |    377 km
2025-09-24|       |                    |  2,440,859 $ |   141,999 km |      26,032 $ |    335 km
2025-09-25|       |                    |  2,473,043 $ |   142,330 km |      19,652 $ |    108 km
2025-09-26|       |                    |  2,507,188 $ |   142,662 km |      34,092 $ |    332 km
2025-09-27|       |                    |  2,510,244 $ |   142,816 km |       2,963 $ |    153 km
2025-09-28|       |                    |  2,522,736 $ |   142,890 km |      12,367 $ |     72 km
2025-09-29|       |                    |  2,571,207 $ |   143,163 km |      24,473 $ |    272 km
2025-09-30|       |                    |  2,605,927 $ |   143,367 km |      34,605 $ |    202 km

2025-10-01|       |                    |  2,647,980 $ |   143,619 km |      41,827 $ |    251 km
2025-10-02|       |                    |  2,686,848 $ |   143,852 km |      38,528 $ |    229 km
2025-10-03|       |                    |    225,571 $ |   144,097 km |  -2,461,628 $ |    242 km
2025-10-04|       |                    |    240,466 $ |   144,462 km |      15,004 $ |    365 km
2025-10-05|       |                    |    258,117 $ |   144,880 km |      17,537 $ |    416 km
2025-10-07|       |                    |    310,509 $ |   145,931 km |      27,909 $ |    507 km
2025-10-08|       |                    |    340,968 $ |   146,507 km |      30,380 $ |    575 km
2025-10-09|       |                    |    368,591 $ |   146,972 km |      27,594 $ |    464 km
2025-10-10|       |                    |    388,051 $ |   147,360 km |      19,392 $ |    386 km
2025-10-11|       |                    |    412,405 $ |   147,838 km |      24,130 $ |    477 km
2025-10-12|       |                    |    428,072 $ |   148,243 km |      15,667 $ |    405 km
2025-10-13|       |                    |    455,287 $ |   148,771 km |      27,155 $ |    526 km
2025-10-14|       |                    |    475,538 $ |   149,218 km |      20,217 $ |    446 km
2025-10-15|       |                    |    493,156 $ |   149,673 km |      17,195 $ |    451 km
2025-10-16|       |                    |    517,227 $ |   150,128 km |      23,990 $ |    452 km
2025-10-17|       |                    |    545,341 $ |   150,600 km |      28,062 $ |    471 km
2025-10-18|       |                    |    570,550 $ |   151,076 km |      25,161 $ |    476 km
2025-10-19|       |                    |    585,105 $ |   151,474 km |      14,341 $ |    393 km
2025-10-20|       |                    |    606,386 $ |   151,981 km |      21,148 $ |    505 km
2025-10-21|       |                    |    627,930 $ |   152,446 km |      21,475 $ |    463 km
2025-10-22|       |                    |    661,937 $ |   152,951 km |      33,951 $ |    503 km
2025-10-23|       |                    |    699,721 $ |   153,470 km |      37,673 $ |    516 km
2025-10-24|       |                    |    719,078 $ |   153,847 km |      19,335 $ |    377 km
2025-10-27|       |                    |    814,736 $ |   155,355 km |       5,158 $ |     48 km
2025-10-28|       |                    |    845,216 $ |   155,810 km |      30,561 $ |    454 km
2025-10-29|       |                    |    880,018 $ |   156,341 km |      34,753 $ |    529 km
2025-10-30|       |                    |    914,625 $ |   156,846 km |      34,555 $ |    503 km
2025-10-31|       |                    |    942,576 $ |   157,374 km |      27,929 $ |    527 km

2025-11-01|       |                    |    968,706 $ |   157,887 km |      26,039 $ |    510 km
2025-11-02|       |                    |    980,758 $ |   158,194 km |      12,052 $ |    307 km
2025-11-03|       |                    |  1,006,173 $ |   158,825 km |      25,353 $ |    629 km
2025-11-04|       |                    |  1,035,394 $ |   159,293 km |      29,192 $ |    467 km
2025-11-05|       |                    |  1,064,513 $ |   159,727 km |      29,059 $ |    432 km
2025-11-06|       |                    |  1,092,678 $ |   160,254 km |      28,151 $ |    527 km
2025-11-07|       |                    |  1,123,396 $ |   160,762 km |      30,564 $ |    504 km
2025-11-08|       |                    |  1,160,748 $ |   161,151 km |      37,342 $ |    388 km
2025-11-09|       |                    |  1,198,320 $ |   161,568 km |      30,163 $ |    197 km
2025-11-10|       |                    |  1,234,650 $ |   162,018 km |      36,272 $ |    447 km
2025-11-11|       |                    |  1,274,811 $ |   162,548 km |      39,785 $ |    526 km
2025-11-12|       |                    |  1,303,311 $ |   163,063 km |      28,459 $ |    513 km
2025-11-13|       |                    |  1,340,706 $ |   163,640 km |      37,395 $ |    577 km
2025-11-14|       |                    |  1,385,169 $ |   164,206 km |      44,383 $ |    561 km
2025-11-15|       |                    |  1,425,867 $ |   164,706 km |      40,625 $ |    496 km
2025-11-16|       |                    |  1,438,795 $ |   164,885 km |      12,531 $ |    178 km
2025-11-17|       |                    |  1,480,382 $ |   165,290 km |      41,498 $ |    403 km
2025-11-18|       |                    |  1,531,143 $ |   165,690 km |      50,730 $ |    399 km
